,Unnamed: 0,killed_by,killer_placement,killer_position_x,killer_position_y,time,victim_placement,victim_position_x,victim_position_y
241,16288,S12K,53.0,624578.9,302647.2,95,92.0,624580.8,303184.3
240,24629,S1897,16.0,702508.1,344151.0,95,22.0,701898.3,343791.3
239,16035,Down and Out,39.0,698710.4,344527.7,95,48.0,698695.9,344426.8
238,16231,Punch,80.0,442691.4,338626.9,95,91.0,442685.9,338547.3
237,23571,S686,10.0,621693.8,297068.9,95,35.0,621621.8,297362.8
236,13417,SCAR-L,46.0,424135.2,325331.4,95,25.0,423896.7,326146.4
234,11601,AKM,20.0,621916.4,377128.1,95,44.0,622878.0,377388.4
232,17855,Micro UZI,85.0,422959.6,324643.4,95,96.0,422077.3,324853.7
231,16034,Punch,39.0,698763.8,344619.2,95,48.0,698610.4,344665.7
230,18665,S686,25.0,152023.9,315064.6,95,20.0,151845.9,315098.4
229,2989,M16A4,20.0,394006.0,277667.0,95,42.0,393882.1,277779.2
228,15836,Mini 14,44.0,448861.8,621158.6,95,46.0,448021.8,621018.1
227,5273,R1895,32.0,437530.1,640180.2,95,47.0,438650.9,643618.7
226,13564,Punch,30.0,431897.5,640776.2,95,39.0,431835.1,640826.6
225,24412,Punch,20.0,447440.7,620728.9,95,24.0,447496.3,620689.1
233,2211,M416,75.0,430002.6,636520.3,95,92.0,432971.9,636884.9
251,23172,DP-28,11.0,199580.4,286399.4,96,21.0,199372.5,286586.8
257,2795,AKM,4.0,569845.1,378942.8,96,28.0,569628.4,379220.6
256,23055,P1911,4.0,627224.1,378603.5,96,43.0,627313.8,378621.7
258,12070,S1897,45.0,152498.2,318480.3,96,46.0,152256.8,318709.7
254,4858,P92,6.0,298118.7,501718.5,96,29.0,298238.6,501748.3
253,1271,P1911,83.0,569652.6,380457.1,96,92.0,569438.1,379799.1
252,15720,P1911,14.0,223356.5,395538.7,96,98.0,220932.0,391505.5
250,13906,Mini 14,35.0,556477.8,128427.6,96,16.0,556308.7,128811.3
255,5146,P1911,25.0,419903.8,327080.4,96,23.0,420154.9,326962.9
248,10189,M16A4,23.0,419679.2,326883.2,96,29.0,419389.6,326769.3
247,22122,S686,25.0,425442.5,327002.8,96,27.0,425494.0,326781.5
246,10642,SCAR-L,49.0,623003.4,373966.2,96,40.0,622856.1,373809.7
245,461,M416,36.0,339453.0,164013.8,96,5.0,339942.1,163887.2
244,10157,M16A4,23.0,419679.2,326883.2,96,29.0,419192.6,326781.1
243,6037,Punch,15.0,564152.3,130828.9,96,7.0,564451.3,130784.7
242,3578,SCAR-L,21.0,602643.1,479569.5,96,20.0,602419.1,479344.9
249,18446,AKM,1.0,550855.5,629789.1,96,91.0,550778.4,630308.8
274,24137,P1911,22.0,551055.8,628977.7,97,9.0,550888.8,629059.5
275,24359,M16A4,54.0,393242.9,277160.7,97,93.0,395113.9,277320.6
276,6166,Micro UZI,92.0,358214.2,515714.2,97,98.0,358736.3,515187.3
277,949,S686,22.0,152872.2,315569.2,97,47.0,152847.6,315264.5
280,1427,SKS,19.0,460323.2,628665.6,97,40.0,462354.5,626858.1
279,18700,Down and Out,38.0,153300.7,318714.8,97,48.0,153111.5,318596.5
272,15809,Vector,25.0,464161.8,649537.4,97,45.0,464137.1,649807.6
281,5799,AKM,1.0,206683.6,279474.9,97,47.0,205042.2,275658.9
282,2995,Down and Out,48.0,419579.2,326050.2,97,49.0,419438.5,324971.8
278,2994,S1897,40.0,424872.2,326743.4,97,49.0,425027.1,325055.9
271,14555,S12K,26.0,623524.9,374448.3,97,25.0,623102.6,374440.6
273,5996,M16A4,20.0,400321.7,285322.6,97,24.0,400002.9,285223.3
269,22382,Down and Out,35.0,431993.1,635831.6,97,49.0,431490.7,636061.8
270,3905,Tommy Gun,24.0,203658.0,282192.8,97,45.0,202479.2,281396.4
259,21076,Micro UZI,29.0,627687.4,378860.3,97,42.0,627837.8,378932.8
260,2294,Micro UZI,92.0,418611.8,326707.8,97,94.0,418246.9,327522.6
262,8874,S1897,20.0,622827.9,373894.9,97,16.0,622869.3,374283.6
263,3167,S1897,39.0,296466.7,506333.2,97,57.0,296187.8,506124.3
261,6389,Punch,15.0,689266.4,459540.3,97,44.0,0.0,0.0
265,13747,SCAR-L,68.0,356579.6,518804.1,97,98.0,356225.3,516493.9
266,23449,UMP9,62.0,424022.6,326142.9,97,86.0,422492.4,325285.6
267,15116,UMP9,41.0,197681.4,284029.2,97,48.0,197986.2,284110.6
268,22417,SCAR-L,35.0,431488.3,636015.8,97,49.0,431505.8,636212.0
264,16122,S12K,9.0,698351.9,346318.5,97,91.0,697268.4,346456.2
301,7439,Grenade,36.0,451178.1,621150.4,98,36.0,451118.2,621336.2
298,14111,S1897,31.0,399266.7,302323.0,98,92.0,399167.3,300625.9
299,19862,Punch,1.0,457869.9,629575.4,98,49.0,457830.9,629511.9
300,21317,AKM,20.0,353635.0,402834.6,98,26.0,0.0,0.0
303,2191,P92,76.0,423046.5,325333.3,98,90.0,423193.1,324985.8
309,312,S1897,5.0,200355.7,289064.9,98,27.0,200188.0,289180.0
305,2198,P92,62.0,458356.0,630098.8,98,91.0,458520.0,629671.3
306,1131,M416,23.0,421747.6,324195.1,98,24.0,0.0,0.0
307,4021,S686,20.0,309755.9,319957.6,98,46.0,309697.9,320069.3
308,18221,Punch,58.0,520624.3,244923.2,98,93.0,520549.1,244877.4
297,23623,SCAR-L,45.0,420088.3,327828.0,98,46.0,420067.3,327321.3
304,16258,P92,72.0,424168.1,326567.2,98,90.0,424107.9,325845.1
296,1703,M416,19.0,468014.2,643981.3,98,26.0,467293.9,644059.1
302,10768,Punch,41.0,150942.2,318312.3,98,44.0,149769.3,313771.9
